pdb_id,pH,temp
1914,7.7,277.0
1A04,7.6,277.0
1A07,8.0,277.0
1A0R,6.8,277.0
1A1A,8.0,277.0
1A1B,8.0,277.0
1A1E,8.0,295.0
1A2X,8.0,289.0
1A31,7.7,295.0
1A35,7.7,295.0
1A3D,7.5,295.5
1A4S,7.5,287.0
1A52,7.6,291.0
1A5T,6.8,277.0
1A6Q,5.0,277.0
1A8E,5.75,277.0
1A8I,6.7,289.0
1A8O,8.0,277.0
1AB6,7.2,293.0
1ACC,6.0,277.0
1AD5,6.5,292.0
1AE8,7.0,277.0
1AFK,5.5,289.0
1AFL,5.5,289.0
1AFQ,7.5,293.0
1AFW,6.5,293.0
1AG9,7.0,295.0
1AI8,7.2,277.0
1AIX,7.2,277.0
1AJV,5.5,277.0
1AJX,5.5,277.0
1AKH,7.0,295.0
1AL3,6.5,291.0
1AMH,5.6,277.0
1AMU,6.5,291.0
1AN2,5.5,277.0
1AR4,6.1,277.0
1AR5,6.15,277.0
1AT6,7.5,277.0
1AUE,8.0,277.0
1AUK,5.4,291.0
1AUV,7.25,299.0
1AV1,7.5,277.0
1AVM,6.15,277.0
1AX9,5.8,277.0
1AZ0,6.0,293.0
1B14,7.0,277.0
1B1E,5.2,289.0
1B23,6.7,277.0
1B2L,8.0,277.0
1B3E,6.25,277.0
1B3K,6.8,293.0
1B3T,5.6,277.0
1B4D,6.7,289.0
1B68,6.0,298.0
1B76,8.0,297.0
1B7V,8.0,293.0
1B9X,5.5,277.0
1B9Y,5.5,277.0
1BA3,7.8,283.0
1BDQ,5.6,294.0
1BDR,5.2,294.0
1BF5,5.0,277.0
1BFN,5.4,277.0
1BGX,7.4,277.0
1BJR,6.0,279.0
1BKB,7.5,281.0
1BKX,8.0,277.0
1BLF,7.7,277.0
1BO4,7.8,277.0
1BPW,7.5,287.0
1BR1,7.2,277.0
1BR2,6.8,277.0
1BR4,7.2,277.0
1BSU,7.5,293.0
1BWU,7.0,298.0
1BX3,6.7,289.0
1BXX,7.1,289.0
1BZS,6.0,298.0
1C02,7.36,297.0
1C03,7.36,297.0
1C04,5.4,292.0
1C08,7.6,293.0
1C0A,6.8,277.0
1C0F,6.6,290.0
1C0G,6.0,295.0
1C0I,7.5,293.0
1C0L,7.5,289.0
1C0M,7.0,277.0
1C0N,6.8,298.0
1C0P,7.5,298.0
1C0T,5.0,277.0
1C0U,5.0,277.0
1C14,7.5,300.0
1C1B,5.0,277.0
1C1C,5.0,277.0
1C1E,5.5,277.15
1C1G,7.4,291.0
1C1K,6.5,277.0
1C1Y,7.6,300.0
1C1Z,7.2,277.0
1C28,6.0,277.0
1C29,7.8,295.0
1C2A,6.23,296.0
1C2B,8.0,279.0
1C2O,5.5,298.0
1C2P,5.0,295.0
1C2T,7.2,295.0
1C30,7.4,277.0
1C3E,7.2,295.0
1C3F,6.5,293.0
1C3G,7.2,298.0
1C3H,6.0,277.0
1C3I,7.0,295.0
1C3J,5.6,291.0
1C3K,7.0,298.0
1C3L,5.5,298.0
1C3M,7.0,298.0
1C3N,7.0,298.0
1C3O,7.4,278.0
1C3S,6.8,298.0
1C3V,7.5,288.0
1C3W,5.6,293.0
1C3X,6.2,298.0
1C4O,6.0,293.0
1C4W,6.9,298.0
1C4Z,6.5,277.0
1C5B,5.5,297.5
1C5D,7.5,289.0
1C74,7.2,293.0
1C76,8.0,293.0
1C7K,7.0,277.0
1C7N,6.5,293.0
1C7O,6.5,293.0
1C7Y,6.0,293.0
1C7Z,7.25,293.0
1C80,7.25,293.0
1C81,7.25,293.0
1C82,6.0,293.0
1C8B,7.4,293.0
1C8D,7.5,294.0
1C8E,6.2,294.0
1C8F,7.5,294.0
1C8G,6.2,294.0
1C8H,5.5,294.0
1C8J,6.5,293.0
1C8M,7.5,298.0
1C8O,5.4,298.0
1C8R,5.6,296.0
1C8S,5.6,296.0
1C8T,7.0,295.0
1C8U,6.5,293.0
1C8V,7.8,295.0
1C8W,5.6,293.0
1C8X,6.1,293.0
1C8Y,6.5,293.0
1C8Z,7.5,293.0
1C90,6.5,293.0
1C91,6.5,293.0
1C92,7.0,293.0
1C93,7.0,293.0
1C96,7.0,295.0
1C97,7.0,295.0
1C9C,8.0,293.0
1C9D,7.8,295.0
1C9E,7.4,298.0
1C9H,7.4,298.0
1C9I,8.0,298.0
1C9L,8.0,298.0
1C9O,7.5,293.0
1C9P,7.5,293.0
1C9S,7.8,293.0
1C9T,5.6,293.0
1C9V,6.0,293.0
1C9W,6.5,298.0
1C9X,6.0,293.0
1C9Y,7.5,291.0
1CB4,6.0,277.0
1CC0,5.3,293.0
1CD5,7.0,293.0
1CDK,5.6,280.0
1CF7,6.0,277.0
1CFJ,6.0,277.0
1CG2,7.2,291.0
1CI6,6.5,288.0
1CLQ,6.5,285.0
1CP3,6.4,277.0
1CQ2,6.5,298.0
1CQ3,8.0,285.0
1CQ6,8.0,293.0
1CQ7,8.0,293.0
1CQ8,8.0,293.0
1CQF,7.5,298.0
1CQJ,7.3,294.0
1CQP,7.0,293.0
1CQQ,7.5,286.0
1CQT,7.5,293.0
1CQV,5.0,291.0
1CQW,5.5,281.0
1CQX,6.3,281.0
1CQZ,6.0,298.0
1CR5,5.6,277.0
1CR6,6.0,298.0
1CR9,7.5,298.0
1CRW,6.1,291.0
1CRZ,7.5,293.0
1CS0,7.4,277.0
1CS6,7.5,290.0
1CS8,7.8,293.2
1CSJ,6.5,277.0
1CSO,6.8,298.0
1CT0,7.4,298.0
1CT2,7.4,298.0
1CT4,7.1,298.0
1CT5,5.6,298.0
1CT9,7.0,273.0
1CTQ,7.6,291.0
1CTW,6.6,277.0
1CU4,7.0,298.0
1CUL,5.6,293.0
1CUN,5.6,277.0
1CUO,5.0,298.0
1CVJ,8.0,296.7
1CVM,6.5,277.0
1CVR,6.0,293.0
1CVU,8.0,291.0
1CVW,7.5,277.0
1CW1,5.8,298.0
1CW2,7.8,295.0
1CW3,6.4,293.0
1CW4,5.8,298.0
1CW7,5.8,298.0
1CWU,5.3,290.0
1CWV,5.6,295.0
1CWY,7.5,291.0
1CX8,6.7,291.0
1CX9,7.8,295.0
1CXQ,7.5,277.0
1CXU,6.2,277.0
1CXY,5.6,298.0
1CXZ,6.5,277.0
1CY0,5.0,287.0
